Hospital,Date,CTAS1,CTAS2,CTAS3,CTAS4,CTAS5,total_ER,low_severity,low_ratio
Aberdeen Hospital,Jan-23,19,352,1090,571,71,2103,642,0.31
Aberdeen Hospital,Feb-23,10,345,977,589,63,1984,652,0.33
Aberdeen Hospital,Mar-23,12,415,1213,730,65,2435,795,0.33
Aberdeen Hospital,Apr-23,18,420,1198,708,107,2451,815,0.33
Aberdeen Hospital,May-23,18,416,1239,746,114,2533,860,0.34
Aberdeen Hospital,Jun-23,17,428,1191,706,104,2446,810,0.33
Aberdeen Hospital,Jul-23,22,484,1214,846,117,2683,963,0.36
Aberdeen Hospital,Aug-23,13,488,1242,664,128,2535,792,0.31
Aberdeen Hospital,Sep-23,16,422,1133,714,117,2402,831,0.35
Aberdeen Hospital,Oct-23,17,449,1125,682,118,2391,800,0.33
Aberdeen Hospital,Nov-23,20,445,1088,677,101,2331,778,0.33
Aberdeen Hospital,Dec-23,15,478,1155,585,112,2345,697,0.3
All Saints Springhill Hospital,Jan-23,1,6,45,150,26,228,176,0.77
All Saints Springhill Hospital,Feb-23,0,1,36,175,31,243,206,0.85
All Saints Springhill Hospital,Mar-23,0,7,122,317,57,503,374,0.74
All Saints Springhill Hospital,Apr-23,0,9,107,452,49,617,501,0.81
All Saints Springhill Hospital,May-23,0,5,81,405,54,545,459,0.84
All Saints Springhill Hospital,Jun-23,0,15,111,508,63,697,571,0.82
All Saints Springhill Hospital,Jul-23,0,16,109,455,84,664,539,0.81
All Saints Springhill Hospital,Aug-23,0,10,85,361,54,510,415,0.81
All Saints Springhill Hospital,Sep-23,0,12,61,272,29,374,301,0.8
All Saints Springhill Hospital,Oct-23,0,6,30,152,25,213,177,0.83
All Saints Springhill Hospital,Nov-23,0,3,22,102,16,143,118,0.83
All Saints Springhill Hospital,Dec-23,0,5,25,121,24,175,145,0.83
Annapolis Community Health Centre,Jan-23,0,2,4,124,96,226,220,0.97
Annapolis Community Health Centre,Feb-23,0,1,8,120,103,232,223,0.96
Annapolis Community Health Centre,Mar-23,0,0,10,140,95,245,235,0.96
Annapolis Community Health Centre,Apr-23,0,0,7,107,90,204,197,0.97
Annapolis Community Health Centre,May-23,0,0,18,133,101,252,234,0.93
Annapolis Community Health Centre,Jun-23,0,0,10,138,90,238,228,0.96
Annapolis Community Health Centre,Jul-23,0,0,5,102,92,199,194,0.97
Annapolis Community Health Centre,Aug-23,0,0,15,129,70,214,199,0.93
Annapolis Community Health Centre,Sep-23,0,1,20,97,77,195,174,0.89
Annapolis Community Health Centre,Oct-23,0,0,23,110,54,187,164,0.88
Annapolis Community Health Centre,Nov-23,0,1,17,118,86,222,204,0.92
Annapolis Community Health Centre,Dec-23,0,1,22,127,74,224,201,0.9
Buchanan Memorial Community Health Centre,Jan-23,1,14,67,134,9,225,143,0.64
Buchanan Memorial Community Health Centre,Feb-23,0,10,82,96,13,201,109,0.54
Buchanan Memorial Community Health Centre,Mar-23,1,13,85,128,16,243,144,0.59
Buchanan Memorial Community Health Centre,Apr-23,0,10,95,131,18,254,149,0.59
