Zone,Hospital,Type,Date,Measure Name,Actual,CTAS
Northern,Aberdeen Hospital,Regional Hospital,2023-08-01,Emergency Visits CTAS,488,2.0
Northern,Aberdeen Hospital,Regional Hospital,2023-08-01,Emergency Visits CTAS,1242,3.0
Northern,Aberdeen Hospital,Regional Hospital,2023-08-01,Emergency Visits CTAS,664,4.0
Northern,Aberdeen Hospital,Regional Hospital,2023-08-01,Emergency Visits CTAS,128,5.0
Northern,Aberdeen Hospital,Regional Hospital,2023-09-01,Emergency Visits,2402,
Northern,Aberdeen Hospital,Regional Hospital,2023-09-01,Emergency Visits CTAS,16,1.0
Northern,Aberdeen Hospital,Regional Hospital,2023-09-01,Emergency Visits CTAS,422,2.0
Northern,Aberdeen Hospital,Regional Hospital,2023-09-01,Emergency Visits CTAS,1133,3.0
Northern,Aberdeen Hospital,Regional Hospital,2023-09-01,Emergency Visits CTAS,714,4.0
Northern,Aberdeen Hospital,Regional Hospital,2023-09-01,Emergency Visits CTAS,117,5.0
Northern,Aberdeen Hospital,Regional Hospital,2023-10-01,Emergency Visits,2391,
Northern,Aberdeen Hospital,Regional Hospital,2023-10-01,Emergency Visits CTAS,17,1.0
Northern,Aberdeen Hospital,Regional Hospital,2023-10-01,Emergency Visits CTAS,449,2.0
Northern,Aberdeen Hospital,Regional Hospital,2023-10-01,Emergency Visits CTAS,1125,3.0
Northern,Aberdeen Hospital,Regional Hospital,2023-10-01,Emergency Visits CTAS,682,4.0
Northern,Aberdeen Hospital,Regional Hospital,2023-10-01,Emergency Visits CTAS,118,5.0
Northern,Aberdeen Hospital,Regional Hospital,2023-11-01,Emergency Visits,2332,
Northern,Aberdeen Hospital,Regional Hospital,2023-11-01,Emergency Visits CTAS,20,1.0
Northern,Aberdeen Hospital,Regional Hospital,2023-11-01,Emergency Visits CTAS,445,2.0
Northern,Aberdeen Hospital,Regional Hospital,2023-11-01,Emergency Visits CTAS,1088,3.0
Northern,Aberdeen Hospital,Regional Hospital,2023-11-01,Emergency Visits CTAS,677,4.0
Northern,Aberdeen Hospital,Regional Hospital,2023-11-01,Emergency Visits CTAS,101,5.0
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Emergency Visits,2345,
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,15,1.0
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,478,2.0
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,1155,3.0
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,585,4.0
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,112,5.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-01-01,Emergency Visits,233,
Northern,All Saints Springhill Hospital,Community Hospital,2023-01-01,Emergency Visits CTAS,1,1.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-01-01,Emergency Visits CTAS,6,2.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-01-01,Emergency Visits CTAS,45,3.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-01-01,Emergency Visits CTAS,150,4.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-01-01,Emergency Visits CTAS,26,5.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-02-01,Emergency Visits,250,
Northern,All Saints Springhill Hospital,Community Hospital,2023-02-01,Emergency Visits CTAS,0,1.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-02-01,Emergency Visits CTAS,1,2.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-02-01,Emergency Visits CTAS,36,3.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-02-01,Emergency Visits CTAS,175,4.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-02-01,Emergency Visits CTAS,31,5.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-03-01,Emergency Visits,510,
Northern,All Saints Springhill Hospital,Community Hospital,2023-03-01,Emergency Visits CTAS,0,1.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-03-01,Emergency Visits CTAS,7,2.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-03-01,Emergency Visits CTAS,122,3.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-03-01,Emergency Visits CTAS,317,4.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-03-01,Emergency Visits CTAS,57,5.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-04-01,Emergency Visits,631,
Northern,All Saints Springhill Hospital,Community Hospital,2023-04-01,Emergency Visits CTAS,0,1.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-04-01,Emergency Visits CTAS,9,2.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-04-01,Emergency Visits CTAS,107,3.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-04-01,Emergency Visits CTAS,452,4.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-04-01,Emergency Visits CTAS,49,5.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-05-01,Emergency Visits,549,
Northern,All Saints Springhill Hospital,Community Hospital,2023-05-01,Emergency Visits CTAS,0,1.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-05-01,Emergency Visits CTAS,5,2.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-05-01,Emergency Visits CTAS,81,3.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-05-01,Emergency Visits CTAS,405,4.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-05-01,Emergency Visits CTAS,54,5.0
Northern,All Saints Springhill Hospital,Community Hospital,2023-06-01,Emergency Visits,708,
